Sector,LEA ID,LEA Name,School ID,School Name,Total Enrolled,PK3,PK4,KG,01,02,03,04,05,06,07,08,09,10,11,12,Adult,Alternative,SPED Program,Limited English Proficient,Level 1,Level 2,Level 3,Level 4,At_Risk
Charters,120,Friendship PCS,363,Friendship PCS Chamberlain Elementary,375,34,68,63,62,73,75,0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,0,1,235
Charters,120,Friendship PCS,364,Friendship PCS Chamberlain Middle,343,0,0,0,0,0,0,66,72,67,67,71,0,0,0,0,0,0,0,0,14,29,12,4,200
Charters,120,Friendship PCS,365,Friendship PCS Woodridge Elementary,284,47,46,47,50,53,41,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,1,0,127
Charters,120,Friendship PCS,366,Friendship PCS Woodridge Middle,168,0,0,0,0,0,0,33,37,30,35,33,0,0,0,0,0,0,0,1,4,18,8,5,75
DCPS,001,District of Columbia Public Schools,370,Langley EC,289,30,36,40,40,61,26,25,31,0,0,0,0,0,0,0,0,0,0,7,17,5,1,38,186
DCPS,001,District of Columbia Public Schools,402,Benjamin Banneker HS,449,0,0,0,0,0,0,0,0,0,0,0,167,114,74,94,0,0,0,3,0,0,0,10,113
DCPS,001,District of Columbia Public Schools,404,Browne EC,353,33,38,39,27,28,40,19,25,28,32,44,0,0,0,0,0,0,0,23,27,14,1,13,241
DCPS,001,District of Columbia Public Schools,405,Deal MS,1312,0,0,0,0,0,0,0,0,457,412,443,0,0,0,0,0,0,0,47,57,54,1,4,99
DCPS,001,District of Columbia Public Schools,407,Eliot Hine MS,257,0,0,0,0,0,0,0,0,75,94,88,0,0,0,0,0,0,0,2,8,26,3,25,161
DCPS,001,District of Columbia Public Schools,409,School Without Walls at Francis Stevens,414,40,41,35,36,31,34,25,31,44,50,47,0,0,0,0,0,0,0,25,35,9,5,8,109
DCPS,001,District of Columbia Public Schools,413,Hart MS,479,0,0,0,0,0,0,0,0,119,171,189,0,0,0,0,0,0,0,0,17,25,61,39,393
DCPS,001,District of Columbia Public Schools,416,Johnson  John Hayden MS,291,0,0,0,0,0,0,0,0,95,110,86,0,0,0,0,0,0,0,3,13,39,12,13,229
